2019-04-10 16:12:05.0492 | Query No. 9  | Mine-Terminal| Read Time: 00:00:00.0647935 | Write Time: 00:00:00.0833942
2019-04-10 16:12:07.6797 | Query No. 10 | Sample info  | Read Time: 00:00:02.6279846 | Write Time: 00:00:00.0833942
2019-04-10 16:12:10.7897 | Query No. 11 | FM1T011      | Read Time: 00:00:03.0389237 | Write Time: 00:00:00.0699636
2019-04-10 16:12:14.0182 | Query No. 13 | T27AggGrad   | Read Time: 00:00:03.0640636 | Write Time: 00:00:00.1634950
2019-04-10 16:12:14.7167 | Query No. 15 | FM1T084FASG  | Read Time: 00:00:00.6423637 | Write Time: 00:00:00.0544990
2019-04-10 16:12:18.0710 | Query No. 18 | FM1T085CASG  | Read Time: 00:00:03.2945287 | Write Time: 00:00:00.0582328
2019-04-10 16:12:20.0202 | Query No. 21 | FM1T096      | Read Time: 00:00:01.8897643 | Write Time: 00:00:00.0582039
2019-04-10 16:18:00.2167 | Query No. 6  | Contact info | Read Time: 00:00:00.1109146 | Write Time: 00:00:00.0549606
2019-04-10 16:18:00.4453 | Query No. 7  | QCP Prod Info| Read Time: 00:00:00.1028962 | Write Time: 00:00:00.1062776
2019-04-10 16:18:00.6702 | Query No. 8  | Agg. Products| Read Time: 00:00:00.1446489 | Write Time: 00:00:00.0757185
2019-04-10 16:18:00.8021 | Query No. 9  | Mine-Terminal| Read Time: 00:00:00.0650924 | Write Time: 00:00:00.0649167
2019-04-10 16:18:03.2450 | Query No. 10 | Sample info  | Read Time: 00:00:02.4420285 | Write Time: 00:00:00.0649167
2019-04-10 16:18:05.8657 | Query No. 11 | FM1T011      | Read Time: 00:00:02.5544818 | Write Time: 00:00:00.0648489
2019-04-10 16:18:08.6961 | Query No. 13 | T27AggGrad   | Read Time: 00:00:02.7056681 | Write Time: 00:00:00.1226522
2019-04-10 16:18:09.4360 | Query No. 15 | FM1T084FASG  | Read Time: 00:00:00.6822180 | Write Time: 00:00:00.0563732
2019-04-10 16:18:12.7929 | Query No. 18 | FM1T085CASG  | Read Time: 00:00:03.2985253 | Write Time: 00:00:00.0559960
2019-04-10 16:18:14.9516 | Query No. 21 | FM1T096      | Read Time: 00:00:02.1008907 | Write Time: 00:00:00.0552041
2019-04-11 10:18:00.0115 | Query No. 6  | Contact info | Read Time: 00:00:00.5626915 | Write Time: 00:00:00.1352996
2019-04-11 10:18:00.5453 | Query No. 7  | QCP Prod Info| Read Time: 00:00:00.4005027 | Write Time: 00:00:00.1105616
2019-04-11 10:18:00.7672 | Query No. 8  | Agg. Products| Read Time: 00:00:00.1421679 | Write Time: 00:00:00.0778147
2019-04-11 10:18:00.8481 | Query No. 9  | Mine-Terminal| Read Time: 00:00:00.0144780 | Write Time: 00:00:00.0648993
2019-04-11 10:20:55.6012 | Query No. 6  | Contact info | Read Time: 00:00:00.1932507 | Write Time: 00:00:00.0546576
2019-04-11 10:20:55.8651 | Query No. 7  | QCP Prod Info| Read Time: 00:00:00.1091831 | Write Time: 00:00:00.1370724
2019-04-11 10:20:56.0951 | Query No. 8  | Agg. Products| Read Time: 00:00:00.1530537 | Write Time: 00:00:00.0742274
2019-04-11 10:20:56.2502 | Query No. 9  | Mine-Terminal| Read Time: 00:00:00.0827519 | Write Time: 00:00:00.0688116
2019-04-11 10:21:02.1766 | Query No. 10 | Sample info  | Read Time: 00:00:05.9249237 | Write Time: 00:00:00.0688116
